,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
0,,269.75,0.0,0.0,75,Clouds,broken clouds,2017-01-01 00:00:00,1848
1,,269.95,0.0,0.0,1,Clear,sky is clear,2017-01-01 01:00:00,1806
2,,269.75,0.0,0.0,1,Clear,sky is clear,2017-01-01 02:00:00,1211
3,,269.65,0.0,0.0,40,Clouds,scattered clouds,2017-01-01 03:00:00,794
4,,269.48,0.0,0.0,1,Clear,sky is clear,2017-01-01 04:00:00,500
5,,269.22,0.0,0.0,1,Clear,sky is clear,2017-01-01 05:00:00,513
6,,268.9,0.0,0.0,1,Clear,sky is clear,2017-01-01 06:00:00,821
7,,268.34,0.0,0.0,40,Clouds,scattered clouds,2017-01-01 07:00:00,950
8,,267.9,0.0,0.0,1,Clear,sky is clear,2017-01-01 08:00:00,1284
9,,267.71,0.0,0.0,20,Clouds,few clouds,2017-01-01 09:00:00,2279
10,,269.02,0.0,0.0,1,Clear,sky is clear,2017-01-01 10:00:00,3592
11,,270.34,0.0,0.0,1,Clear,sky is clear,2017-01-01 11:00:00,3500
12,,271.27,0.0,0.0,75,Clouds,broken clouds,2017-01-01 12:00:00,3364
13,,271.46,0.0,0.0,90,Clouds,overcast clouds,2017-01-01 13:00:00,3252
14,,271.9,0.0,0.0,75,Clouds,broken clouds,2017-01-01 14:00:00,3431
15,,271.71,0.0,0.0,75,Clouds,broken clouds,2017-01-01 15:00:00,3585
16,,271.59,0.0,0.0,40,Clouds,scattered clouds,2017-01-01 16:00:00,3594
17,,271.09,0.0,0.0,1,Clear,sky is clear,2017-01-01 17:00:00,3133
18,,270.53,0.0,0.0,75,Clouds,broken clouds,2017-01-01 18:00:00,2955
19,,270.47,0.0,0.0,90,Clouds,overcast clouds,2017-01-01 19:00:00,2412
20,,270.55,0.0,0.0,40,Clouds,scattered clouds,2017-01-01 20:00:00,1981
21,,270.49,0.0,0.0,90,Clouds,overcast clouds,2017-01-01 21:00:00,1777
22,,270.48,0.0,0.0,90,Clouds,overcast clouds,2017-01-01 22:00:00,1438
23,,270.55,0.0,0.0,90,Snow,light snow,2017-01-01 23:00:00,1043
24,New Years Day,270.62,0.0,0.0,90,Snow,light snow,2017-01-02 00:00:00,798
25,,270.55,0.0,0.0,90,Snow,light snow,2017-01-02 01:00:00,522
26,,270.49,0.0,0.0,90,Snow,light snow,2017-01-02 02:00:00,457
27,,270.42,0.0,0.0,90,Snow,light snow,2017-01-02 03:00:00,363
28,,270.49,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 04:00:00,508
29,,270.49,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 05:00:00,849
30,,270.62,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 06:00:00,1562
31,,270.82,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 07:00:00,1792
32,,270.88,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 08:00:00,2014
33,,271.55,0.0,0.0,90,Clouds,overcast clouds,2017-01-02 09:00:00,2401
34,,271.65,0.0,0.0,90,Snow,light snow,2017-01-02 10:00:00,2832
35,,272.22,0.0,0.0,90,Snow,light snow,2017-01-02 11:00:00,3470
36,,272.27,0.0,0.0,90,Snow,light snow,2017-01-02 12:00:00,3732
37,,272.42,0.0,0.0,90,Snow,light snow,2017-01-02 13:00:00,3750
38,,272.42,0.0,0.0,90,Mist,mist,2017-01-02 13:00:00,3750
39,,272.59,0.0,0.0,90,Snow,light snow,2017-01-02 14:00:00,3933
40,,272.59,0.0,0.0,90,Haze,haze,2017-01-02 14:00:00,3933
41,,272.59,0.0,0.0,90,Mist,mist,2017-01-02 14:00:00,3933
42,,272.71,0.0,0.0,90,Haze,haze,2017-01-02 15:00:00,3762
43,,272.71,0.0,0.0,90,Snow,light snow,2017-01-02 15:00:00,3762
44,,272.71,0.0,0.0,90,Mist,mist,2017-01-02 15:00:00,3762
45,,272.71,0.0,0.0,90,Rain,light rain,2017-01-02 15:00:00,3762
46,,272.71,0.0,0.0,90,Mist,mist,2017-01-02 16:00:00,3563
47,,272.71,0.0,0.0,90,Haze,haze,2017-01-02 16:00:00,3563
48,,272.71,0.0,0.0,90,Snow,light snow,2017-01-02 16:00:00,3563
49,,272.71,0.0,0.0,90,Drizzle,heavy intensity drizzle,2017-01-02 16:00:00,3563
50,,273.02,0.0,0.0,90,Mist,mist,2017-01-02 17:00:00,3261
51,,273.02,0.0,0.0,90,Snow,light snow,2017-01-02 17:00:00,3261
52,,273.02,0.0,0.0,90,Mist,mist,2017-01-02 18:00:00,2875
53,,273.02,0.0,0.0,90,Snow,light snow,2017-01-02 18:00:00,2875
54,,272.95,0.0,0.0,90,Mist,mist,2017-01-02 19:00:00,2244
55,,272.95,0.0,0.0,90,Mist,mist,2017-01-02 20:00:00,1785
56,,272.95,0.0,0.0,90,Snow,light snow,2017-01-02 20:00:00,1785
57,,272.95,0.0,0.0,90,Rain,light rain,2017-01-02 20:00:00,1785
58,,272.95,0.0,0.0,90,Drizzle,drizzle,2017-01-02 20:00:00,1785
59,,272.95,0.0,0.0,90,Mist,mist,2017-01-02 21:00:00,1660
60,,272.95,0.0,0.0,90,Snow,light snow,2017-01-02 21:00:00,1660
61,,272.95,0.0,0.0,90,Mist,mist,2017-01-02 22:00:00,1226
62,,272.95,0.0,0.0,90,Snow,light snow,2017-01-02 22:00:00,1226
63,,273.02,0.0,0.0,90,Mist,mist,2017-01-02 23:00:00,827
64,,273.02,0.0,0.0,90,Snow,light snow,2017-01-02 23:00:00,827
65,,273.02,0.0,0.0,90,Drizzle,light intensity drizzle,2017-01-02 23:00:00,827
66,,272.95,0.0,0.0,90,Mist,mist,2017-01-03 00:00:00,716
67,,272.95,0.0,0.0,90,Haze,haze,2017-01-03 00:00:00,716
68,,272.95,0.0,0.0,90,Snow,light snow,2017-01-03 00:00:00,716
69,,272.95,0.0,0.0,90,Drizzle,light intensity drizzle,2017-01-03 00:00:00,716
70,,272.95,0.0,0.0,90,Mist,mist,2017-01-03 01:00:00,485
71,,272.95,0.0,0.0,90,Snow,light snow,2017-01-03 01:00:00,485
72,,272.95,0.0,0.0,90,Drizzle,light intensity drizzle,2017-01-03 01:00:00,485
73,,273.02,0.0,0.0,90,Mist,mist,2017-01-03 02:00:00,400
74,,273.02,0.0,0.0,90,Haze,haze,2017-01-03 02:00:00,400
75,,273.02,0.0,0.0,90,Mist,mist,2017-01-03 03:00:00,483
76,,273.02,0.0,0.0,90,Haze,haze,2017-01-03 03:00:00,483
77,,272.59,0.0,0.0,90,Mist,mist,2017-01-03 04:00:00,944
78,,272.48,0.0,0.0,90,Mist,mist,2017-01-03 05:00:00,2755
79,,272.08,0.0,0.0,90,Mist,mist,2017-01-03 06:00:00,5107
80,,270.82,0.0,0.0,90,Clouds,overcast clouds,2017-01-03 07:00:00,6065
81,,268.72,0.0,0.0,90,Clouds,overcast clouds,2017-01-03 08:00:00,5338
82,,265.28,0.0,0.0,90,Snow,light snow,2017-01-03 09:00:00,4555
83,,263.59,0.0,0.0,75,Snow,light snow,2017-01-03 10:00:00,3979
84,,262.78,0.0,0.0,1,Snow,light snow,2017-01-03 11:00:00,4008
85,,262.09,0.0,0.0,1,Snow,light snow,2017-01-03 12:00:00,4317
86,,262.09,0.0,0.0,40,Clouds,scattered clouds,2017-01-03 13:00:00,4377
87,,261.59,0.0,0.0,40,Haze,haze,2017-01-03 14:00:00,4863
88,,261.21,0.0,0.0,1,Clear,sky is clear,2017-01-03 15:00:00,5290
89,,261.03,0.0,0.0,1,Clear,sky is clear,2017-01-03 16:00:00,6114
90,,260.42,0.0,0.0,1,Clear,sky is clear,2017-01-03 17:00:00,5854
91,,259.65,0.0,0.0,5,Clear,sky is clear,2017-01-03 18:00:00,4011
92,,259.09,0.0,0.0,5,Clear,sky is clear,2017-01-03 19:00:00,2697
93,,258.34,0.0,0.0,5,Clear,sky is clear,2017-01-03 20:00:00,2169
94,,257.84,0.0,0.0,5,Clear,sky is clear,2017-01-03 21:00:00,2011
95,,257.22,0.0,0.0,1,Clear,sky is clear,2017-01-03 22:00:00,1475
96,,256.9,0.0,0.0,1,Clear,sky is clear,2017-01-03 23:00:00,915
97,,256.34,0.0,0.0,1,Clear,sky is clear,2017-01-04 00:00:00,528
98,,255.9,0.0,0.0,1,Clear,sky is clear,2017-01-04 01:00:00,324
99,,255.42,0.0,0.0,1,Clear,sky is clear,2017-01-04 02:00:00,249
100,,254.84,0.0,0.0,1,Clear,sky is clear,2017-01-04 03:00:00,308
101,,254.42,0.0,0.0,1,Clear,sky is clear,2017-01-04 04:00:00,836
102,,253.72,0.0,0.0,1,Clear,sky is clear,2017-01-04 05:00:00,2603
103,,253.22,0.0,0.0,1,Clear,sky is clear,2017-01-04 06:00:00,5511
104,,252.72,0.0,0.0,1,Clear,sky is clear,2017-01-04 07:00:00,5405
105,,252.08,0.0,0.0,20,Haze,haze,2017-01-04 08:00:00,5626
106,,252.02,0.0,0.0,20,Snow,light snow,2017-01-04 09:00:00,4667
107,,252.02,0.0,0.0,20,Haze,haze,2017-01-04 09:00:00,4667
108,,252.15,0.0,0.0,1,Haze,haze,2017-01-04 10:00:00,4275
109,,253.03,0.0,0.0,1,Clear,sky is clear,2017-01-04 11:00:00,4358
110,,254.28,0.0,0.0,1,Clear,sky is clear,2017-01-04 12:00:00,4548
111,,255.42,0.0,0.0,1,Clear,sky is clear,2017-01-04 13:00:00,4423
112,,256.15,0.0,0.0,5,Clear,sky is clear,2017-01-04 14:00:00,4846
113,,256.78,0.0,0.0,5,Clear,sky is clear,2017-01-04 15:00:00,5185
114,,256.84,0.0,0.0,1,Clear,sky is clear,2017-01-04 16:00:00,6242
115,,256.53,0.0,0.0,1,Clear,sky is clear,2017-01-04 17:00:00,6034
116,,255.72,0.0,0.0,75,Clouds,broken clouds,2017-01-04 18:00:00,4238
117,,255.28,0.0,0.0,40,Clouds,scattered clouds,2017-01-04 19:00:00,2861
118,,255.15,0.0,0.0,5,Clear,sky is clear,2017-01-04 20:00:00,2370
119,,254.47,0.0,0.0,5,Clear,sky is clear,2017-01-04 21:00:00,2421
120,,254.42,0.0,0.0,40,Clouds,scattered clouds,2017-01-04 22:00:00,1569
121,,254.89,0.0,0.0,90,Snow,light snow,2017-01-04 23:00:00,1037
122,,254.82,0.0,0.0,90,Haze,haze,2017-01-05 00:00:00,543
123,,254.82,0.0,0.0,90,Snow,light snow,2017-01-05 00:00:00,543
124,,254.69,0.0,0.0,90,Snow,light snow,2017-01-05 01:00:00,438
125,,254.69,0.0,0.0,90,Haze,haze,2017-01-05 01:00:00,438
126,,254.49,0.0,0.0,90,Snow,light snow,2017-01-05 02:00:00,366
127,,254.49,0.0,0.0,90,Haze,haze,2017-01-05 02:00:00,366
128,,253.95,0.0,0.0,90,Haze,haze,2017-01-05 03:00:00,386
129,,253.95,0.0,0.0,90,Snow,light snow,2017-01-05 03:00:00,386
130,,253.21,0.0,0.0,90,Haze,haze,2017-01-05 04:00:00,782
131,,253.21,0.0,0.0,90,Snow,light snow,2017-01-05 04:00:00,782
132,,252.56,0.0,0.0,1,Snow,light snow,2017-01-05 05:00:00,2555
133,,251.89,0.0,0.0,1,Haze,haze,2017-01-05 06:00:00,5242
134,,251.29,0.0,0.0,1,Mist,mist,2017-01-05 07:00:00,5807
135,,250.84,0.0,0.0,1,Mist,mist,2017-01-05 08:00:00,6091
136,,250.8,0.0,0.0,5,Mist,mist,2017-01-05 09:00:00,4885
137,,251.84,0.0,0.0,5,Mist,mist,2017-01-05 10:00:00,4383
138,,252.95,0.0,0.0,1,Clear,sky is clear,2017-01-05 11:00:00,4288
139,,254.55,0.0,0.0,1,Clear,sky is clear,2017-01-05 12:00:00,4441
140,,255.48,0.0,0.0,40,Clouds,scattered clouds,2017-01-05 13:00:00,4584
141,,255.78,0.0,0.0,75,Haze,haze,2017-01-05 14:00:00,5088
142,,256.15,0.0,0.0,75,Haze,haze,2017-01-05 15:00:00,5475
143,,255.84,0.0,0.0,40,Clouds,scattered clouds,2017-01-05 16:00:00,6220
144,,255.28,0.0,0.0,40,Clouds,scattered clouds,2017-01-05 17:00:00,5892
145,,254.59,0.0,0.0,40,Clouds,scattered clouds,2017-01-05 18:00:00,4344
146,,254.03,0.0,0.0,40,Clouds,scattered clouds,2017-01-05 19:00:00,3030
147,,253.46,0.0,0.0,75,Snow,light snow,2017-01-05 20:00:00,2569
148,,253.46,0.0,0.0,75,Haze,haze,2017-01-05 20:00:00,2569
149,,252.91,0.0,0.0,1,Snow,light snow,2017-01-05 21:00:00,2314
150,,252.91,0.0,0.0,1,Haze,haze,2017-01-05 21:00:00,2314
151,,251.96,0.0,0.0,75,Clouds,broken clouds,2017-01-05 22:00:00,1699
152,,251.46,0.0,0.0,1,Clear,sky is clear,2017-01-05 23:00:00,1106
153,,250.9,0.0,0.0,1,Clear,sky is clear,2017-01-06 00:00:00,731
154,,250.4,0.0,0.0,1,Haze,haze,2017-01-06 01:00:00,419
155,,250.4,0.0,0.0,1,Mist,mist,2017-01-06 01:00:00,419
156,,250.03,0.0,0.0,1,Haze,haze,2017-01-06 02:00:00,357
157,,250.03,0.0,0.0,1,Mist,mist,2017-01-06 02:00:00,357
158,,249.95,0.0,0.0,1,Snow,light snow,2017-01-06 03:00:00,389
159,,250.15,0.0,0.0,75,Snow,light snow,2017-01-06 04:00:00,841
160,,249.46,0.0,0.0,75,Snow,light snow,2017-01-06 05:00:00,2570
161,,249.35,0.0,0.0,1,Snow,light snow,2017-01-06 06:00:00,5307
162,,248.84,0.0,0.0,20,Haze,haze,2017-01-06 07:00:00,6058
163,,249.15,0.0,0.0,1,Clear,sky is clear,2017-01-06 08:00:00,5416
164,,249.73,0.0,0.0,1,Clear,sky is clear,2017-01-06 09:00:00,4842
165,,251.08,0.0,0.0,5,Clear,sky is clear,2017-01-06 10:00:00,4484
166,,252.83,0.0,0.0,5,Clear,sky is clear,2017-01-06 11:00:00,4583
167,,254.41,0.0,0.0,1,Clear,sky is clear,2017-01-06 12:00:00,4988
168,,256.02,0.0,0.0,1,Clear,sky is clear,2017-01-06 13:00:00,4980
169,,257.02,0.0,0.0,1,Clear,sky is clear,2017-01-06 14:00:00,5174
170,,257.68,0.0,0.0,40,Clouds,scattered clouds,2017-01-06 15:00:00,5553
171,,258.02,0.0,0.0,40,Clouds,scattered clouds,2017-01-06 16:00:00,6350
172,,257.49,0.0,0.0,40,Clouds,scattered clouds,2017-01-06 17:00:00,5790
173,,256.53,0.0,0.0,20,Clouds,few clouds,2017-01-06 18:00:00,4616
174,,256.09,0.0,0.0,1,Clear,sky is clear,2017-01-06 19:00:00,3368
175,,255.22,0.0,0.0,1,Clear,sky is clear,2017-01-06 20:00:00,2720
176,,255.16,0.0,0.0,1,Clear,sky is clear,2017-01-06 21:00:00,2542
177,,254.89,0.0,0.0,1,Clear,sky is clear,2017-01-06 22:00:00,2255
178,,254.69,0.0,0.0,1,Clear,sky is clear,2017-01-06 23:00:00,1488
179,,254.55,0.0,0.0,1,Clear,sky is clear,2017-01-07 00:00:00,1089
180,,254.49,0.0,0.0,1,Clear,sky is clear,2017-01-07 01:00:00,685
181,,254.35,0.0,0.0,1,Clear,sky is clear,2017-01-07 02:00:00,663
182,,254.09,0.0,0.0,1,Clear,sky is clear,2017-01-07 03:00:00,565
183,,254.22,0.0,0.0,1,Clear,sky is clear,2017-01-07 04:00:00,664
184,,254.03,0.0,0.0,1,Clear,sky is clear,2017-01-07 05:00:00,886
185,,254.34,0.0,0.0,1,Clear,sky is clear,2017-01-07 06:00:00,1385
186,,254.47,0.0,0.0,1,Clear,sky is clear,2017-01-07 07:00:00,1879
187,,254.53,0.0,0.0,40,Clouds,scattered clouds,2017-01-07 08:00:00,2653
188,,254.95,0.0,0.0,5,Clear,sky is clear,2017-01-07 09:00:00,3178
189,,255.84,0.0,0.0,5,Clear,sky is clear,2017-01-07 10:00:00,3521
190,,257.02,0.0,0.0,1,Haze,haze,2017-01-07 11:00:00,4085
191,,258.09,0.0,0.0,1,Clear,sky is clear,2017-01-07 12:00:00,4444
192,,259.42,0.0,0.0,1,Clear,sky is clear,2017-01-07 13:00:00,4548
193,,259.69,0.0,0.0,1,Clear,sky is clear,2017-01-07 14:00:00,4800
194,,260.15,0.0,0.0,5,Clear,sky is clear,2017-01-07 15:00:00,5092
195,,259.97,0.0,0.0,1,Clear,sky is clear,2017-01-07 16:00:00,4885
196,,259.22,0.0,0.0,5,Clear,sky is clear,2017-01-07 17:00:00,4572
197,,258.03,0.0,0.0,5,Clear,sky is clear,2017-01-07 18:00:00,3780
198,,257.22,0.0,0.0,5,Clear,sky is clear,2017-01-07 19:00:00,3025
199,,256.65,0.0,0.0,5,Clear,sky is clear,2017-01-07 20:00:00,2751
200,,256.09,0.0,0.0,5,Clear,sky is clear,2017-01-07 21:00:00,2683
201,,255.59,0.0,0.0,1,Clear,sky is clear,2017-01-07 22:00:00,2404
202,,254.9,0.0,0.0,1,Clear,sky is clear,2017-01-07 23:00:00,1757
203,,254.03,0.0,0.0,1,Clear,sky is clear,2017-01-08 00:00:00,1089
204,,253.4,0.0,0.0,1,Clear,sky is clear,2017-01-08 01:00:00,685
205,,253.49,0.0,0.0,1,Clear,sky is clear,2017-01-08 02:00:00,663
206,,252.72,0.0,0.0,1,Clear,sky is clear,2017-01-08 03:00:00,565
207,,252.29,0.0,0.0,1,Clear,sky is clear,2017-01-08 04:00:00,664
208,,252.22,0.0,0.0,1,Clear,sky is clear,2017-01-08 05:00:00,781
209,,251.95,0.0,0.0,1,Snow,light snow,2017-01-08 06:00:00,1123
210,,252.02,0.0,0.0,1,Clear,sky is clear,2017-01-08 07:00:00,1461
211,,252.22,0.0,0.0,1,Snow,light snow,2017-01-08 08:00:00,1807
212,,253.22,0.0,0.0,1,Snow,light snow,2017-01-08 09:00:00,2495
213,,255.22,0.0,0.0,1,Clear,sky is clear,2017-01-08 10:00:00,3081
214,,257.08,0.0,0.0,1,Clear,sky is clear,2017-01-08 11:00:00,3317
215,,259.57,0.0,0.0,40,Clouds,scattered clouds,2017-01-08 12:00:00,3597
216,,260.88,0.0,0.0,1,Clear,sky is clear,2017-01-08 13:00:00,3989
217,,262.01,0.0,0.0,75,Clouds,broken clouds,2017-01-08 14:00:00,4316
218,,262.28,0.0,0.0,90,Snow,light snow,2017-01-08 15:00:00,4281
219,,262.65,0.0,0.0,90,Snow,light snow,2017-01-08 16:00:00,4103
220,,262.46,0.0,0.0,90,Snow,light snow,2017-01-08 17:00:00,4198
221,,262.84,0.0,0.0,90,Snow,light snow,2017-01-08 18:00:00,3331
222,,263.28,0.0,0.0,90,Snow,light snow,2017-01-08 19:00:00,2893
223,,263.48,0.0,0.0,90,Snow,light snow,2017-01-08 20:00:00,2388
224,,264.36,0.0,0.0,90,Snow,light snow,2017-01-08 21:00:00,2026
225,,264.58,0.0,0.0,90,Snow,light snow,2017-01-08 22:00:00,1527
226,,264.51,0.0,0.0,40,Snow,light snow,2017-01-08 23:00:00,1223
227,,264.51,0.0,0.0,90,Snow,light snow,2017-01-09 00:00:00,768
228,,264.65,0.0,0.0,90,Snow,light snow,2017-01-09 01:00:00,562
229,,264.75,0.0,0.0,90,Snow,light snow,2017-01-09 02:00:00,473
230,,265.02,0.0,0.0,90,Snow,light snow,2017-01-09 03:00:00,602
231,,265.22,0.0,0.0,90,Snow,light snow,2017-01-09 04:00:00,949
232,,265.42,0.0,0.0,90,Snow,light snow,2017-01-09 05:00:00,2760
233,,265.29,0.0,0.0,90,Snow,light snow,2017-01-09 06:00:00,5614
234,,265.02,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 07:00:00,6272
235,,264.53,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 08:00:00,5885
236,,264.82,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 09:00:00,4753
237,,265.35,0.0,0.0,90,Snow,light snow,2017-01-09 10:00:00,4052
238,,265.95,0.0,0.0,40,Snow,light snow,2017-01-09 11:00:00,4261
239,,266.55,0.0,0.0,90,Snow,light snow,2017-01-09 12:00:00,4378
240,,267.08,0.0,0.0,90,Snow,light snow,2017-01-09 13:00:00,4285
241,,267.08,0.0,0.0,90,Mist,mist,2017-01-09 13:00:00,4285
242,,267.08,0.0,0.0,90,Haze,haze,2017-01-09 13:00:00,4285
243,,267.22,0.0,0.0,90,Snow,snow,2017-01-09 14:00:00,4068
244,,267.22,0.0,0.0,90,Mist,mist,2017-01-09 14:00:00,4068
245,,267.22,0.0,0.0,90,Snow,snow,2017-01-09 15:00:00,4404
246,,267.22,0.0,0.0,90,Mist,mist,2017-01-09 15:00:00,4404
247,,267.22,0.0,0.0,90,Fog,fog,2017-01-09 15:00:00,4404
248,,267.55,0.0,0.0,90,Snow,light snow,2017-01-09 16:00:00,4484
249,,267.55,0.0,0.0,90,Mist,mist,2017-01-09 16:00:00,4484
250,,267.58,0.0,0.0,90,Snow,light snow,2017-01-09 17:00:00,4569
251,,267.58,0.0,0.0,90,Mist,mist,2017-01-09 17:00:00,4569
252,,267.58,0.0,0.0,90,Haze,haze,2017-01-09 17:00:00,4569
253,,267.72,0.0,0.0,90,Haze,haze,2017-01-09 18:00:00,3512
254,,267.72,0.0,0.0,90,Snow,light snow,2017-01-09 18:00:00,3512
255,,268.68,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 19:00:00,2508
256,,269.02,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 20:00:00,2022
257,,269.22,0.0,0.0,90,Clouds,overcast clouds,2017-01-09 21:00:00,1884
258,,269.29,0.0,0.0,1,Clear,sky is clear,2017-01-09 22:00:00,1357
259,,269.62,0.0,0.0,40,Clouds,scattered clouds,2017-01-09 23:00:00,880
260,,269.68,0.0,0.0,40,Clouds,scattered clouds,2017-01-10 00:00:00,519
261,,269.65,0.0,0.0,1,Clear,sky is clear,2017-01-10 01:00:00,317
262,,269.62,0.0,0.0,1,Clear,sky is clear,2017-01-10 02:00:00,255
263,,270.03,0.0,0.0,1,Clear,sky is clear,2017-01-10 03:00:00,340
264,,269.68,0.0,0.0,1,Clear,sky is clear,2017-01-10 04:00:00,817
265,,270.22,0.0,0.0,75,Clouds,broken clouds,2017-01-10 05:00:00,2613
266,,270.59,0.0,0.0,90,Mist,mist,2017-01-10 06:00:00,4339
267,,270.28,0.0,0.0,90,Mist,mist,2017-01-10 07:00:00,3921
268,,270.28,0.0,0.0,90,Snow,light snow,2017-01-10 07:00:00,3921
269,,270.22,0.0,0.0,90,Snow,heavy snow,2017-01-10 08:00:00,3404
270,,270.22,0.0,0.0,90,Mist,mist,2017-01-10 08:00:00,3404
271,,270.34,0.0,0.0,90,Snow,heavy snow,2017-01-10 09:00:00,4151
272,,270.34,0.0,0.0,90,Mist,mist,2017-01-10 09:00:00,4151
273,,270.34,0.0,0.0,90,Fog,fog,2017-01-10 09:00:00,4151
274,,270.21,0.0,0.0,90,Snow,snow,2017-01-10 10:00:00,3237
275,,270.21,0.0,0.0,90,Mist,mist,2017-01-10 10:00:00,3237
276,,270.3,0.0,0.0,90,Snow,snow,2017-01-10 11:00:00,3215
277,,270.3,0.0,0.0,90,Fog,fog,2017-01-10 11:00:00,3215
278,,270.3,0.0,0.0,90,Mist,mist,2017-01-10 11:00:00,3215
279,,269.69,0.0,0.0,90,Snow,snow,2017-01-10 12:00:00,3312
280,,269.69,0.0,0.0,90,Mist,mist,2017-01-10 12:00:00,3312
281,,268.1,0.0,0.0,90,Snow,light snow,2017-01-10 13:00:00,3595
282,,268.1,0.0,0.0,90,Mist,mist,2017-01-10 13:00:00,3595
283,,265.78,0.0,0.0,90,Snow,snow,2017-01-10 14:00:00,3945
284,,265.78,0.0,0.0,90,Fog,fog,2017-01-10 14:00:00,3945
285,,265.78,0.0,0.0,90,Haze,haze,2017-01-10 14:00:00,3945
286,,264.03,0.0,0.0,75,Haze,haze,2017-01-10 15:00:00,4454
287,,264.03,0.0,0.0,75,Snow,light snow,2017-01-10 15:00:00,4454
288,,264.03,0.0,0.0,75,Mist,mist,2017-01-10 15:00:00,4454
289,,262.9,0.0,0.0,90,Haze,haze,2017-01-10 16:00:00,5013
290,,261.84,0.0,0.0,5,Haze,haze,2017-01-10 17:00:00,4734
291,,260.9,0.0,0.0,1,Clear,sky is clear,2017-01-10 18:00:00,3675
292,,260.09,0.0,0.0,1,Clear,sky is clear,2017-01-10 19:00:00,2597
293,,259.34,0.0,0.0,1,Clear,sky is clear,2017-01-10 20:00:00,2219
294,,258.78,0.0,0.0,1,Clear,sky is clear,2017-01-10 21:00:00,2003
295,,258.15,0.0,0.0,1,Clear,sky is clear,2017-01-10 22:00:00,1347
296,,257.47,0.0,0.0,1,Clear,sky is clear,2017-01-10 23:00:00,919
297,,256.95,0.0,0.0,75,Clouds,broken clouds,2017-01-11 00:00:00,504
298,,257.42,0.0,0.0,90,Clouds,overcast clouds,2017-01-11 01:00:00,292
299,,257.82,0.0,0.0,90,Snow,snow,2017-01-11 02:00:00,264
300,,257.68,0.0,0.0,90,Snow,snow,2017-01-11 03:00:00,331
301,,257.68,0.0,0.0,90,Mist,mist,2017-01-11 03:00:00,331
302,,257.88,0.0,0.0,90,Snow,light snow,2017-01-11 04:00:00,847
303,,257.88,0.0,0.0,90,Mist,mist,2017-01-11 04:00:00,847
304,,258.09,0.0,0.0,90,Snow,light snow,2017-01-11 05:00:00,2643
305,,258.15,0.0,0.0,90,Snow,light snow,2017-01-11 06:00:00,4342
306,,258.01,0.0,0.0,90,Snow,snow,2017-01-11 07:00:00,4101
307,,258.01,0.0,0.0,90,Mist,mist,2017-01-11 07:00:00,4101
308,,258.42,0.0,0.0,90,Snow,light snow,2017-01-11 08:00:00,4082
309,,258.42,0.0,0.0,90,Mist,mist,2017-01-11 08:00:00,4082
310,,258.46,0.0,0.0,90,Snow,snow,2017-01-11 09:00:00,3703
