holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,date_time,traffic_volume
None,269.75,0.0,0.0,75.0,Clouds,2017-01-01 00:00:00,1848
None,269.95,0.0,0.0,1.0,Clear,2017-01-01 01:00:00,1806
None,269.75,0.0,0.0,1.0,Clear,2017-01-01 02:00:00,1211
None,269.65,0.0,0.0,40.0,Clouds,2017-01-01 03:00:00,794
None,269.48,0.0,0.0,1.0,Clear,2017-01-01 04:00:00,500
None,269.22,0.0,0.0,1.0,Clear,2017-01-01 05:00:00,513
None,268.9,0.0,0.0,1.0,Clear,2017-01-01 06:00:00,821
None,268.34,0.0,0.0,40.0,Clouds,2017-01-01 07:00:00,950
None,267.9,0.0,0.0,1.0,Clear,2017-01-01 08:00:00,1284
None,267.71,0.0,0.0,20.0,Clouds,2017-01-01 09:00:00,2279
None,269.02,0.0,0.0,1.0,Clear,2017-01-01 10:00:00,3592
None,270.34,0.0,0.0,1.0,Clear,2017-01-01 11:00:00,3500
None,271.27,0.0,0.0,75.0,Clouds,2017-01-01 12:00:00,3364
None,271.46,0.0,0.0,90.0,Clouds,2017-01-01 13:00:00,3252
None,271.9,0.0,0.0,75.0,Clouds,2017-01-01 14:00:00,3431
None,271.71,0.0,0.0,75.0,Clouds,2017-01-01 15:00:00,3585
None,271.59,0.0,0.0,40.0,Clouds,2017-01-01 16:00:00,3594
None,271.09,0.0,0.0,1.0,Clear,2017-01-01 17:00:00,3133
None,270.53,0.0,0.0,75.0,Clouds,2017-01-01 18:00:00,2955
None,270.47,0.0,0.0,90.0,Clouds,2017-01-01 19:00:00,2412
None,270.55,0.0,0.0,40.0,Clouds,2017-01-01 20:00:00,1981
None,270.49,0.0,0.0,90.0,Clouds,2017-01-01 21:00:00,1777
None,270.48,0.0,0.0,90.0,Clouds,2017-01-01 22:00:00,1438
None,270.55,0.0,0.0,90.0,Snow,2017-01-01 23:00:00,1043
New Years Day,270.62,0.0,0.0,90.0,Snow,2017-01-02 00:00:00,798
None,270.55,0.0,0.0,90.0,Snow,2017-01-02 01:00:00,522
None,270.49,0.0,0.0,90.0,Snow,2017-01-02 02:00:00,457
