,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
0,New Years Day,249.36,0.0,0.0,1,Clear,sky is clear,2018-01-01 00:00:00,1478
1,,249.08,0.0,0.0,1,Clear,sky is clear,2018-01-01 01:00:00,1408
2,,248.86,0.0,0.0,1,Clear,sky is clear,2018-01-01 02:00:00,931
3,,248.72,0.0,0.0,1,Clear,sky is clear,2018-01-01 03:00:00,585
4,,248.43,0.0,0.0,1,Clear,sky is clear,2018-01-01 04:00:00,381
5,,248.07,0.0,0.0,1,Clear,sky is clear,2018-01-01 05:00:00,434
6,,248.15,0.0,0.0,1,Clear,sky is clear,2018-01-01 06:00:00,686
7,,247.76,0.0,0.0,1,Clear,sky is clear,2018-01-01 07:00:00,677
8,,247.45,0.0,0.0,5,Clear,sky is clear,2018-01-01 08:00:00,811
9,,247.43,0.0,0.0,1,Clear,sky is clear,2018-01-01 09:00:00,1122
10,,248.91,0.0,0.0,1,Clear,sky is clear,2018-01-01 10:00:00,1738
11,,250.65,0.0,0.0,1,Clear,sky is clear,2018-01-01 11:00:00,2421
12,,251.99,0.0,0.0,1,Clear,sky is clear,2018-01-01 12:00:00,2908
13,,253.29,0.0,0.0,1,Clear,sky is clear,2018-01-01 13:00:00,2985
14,,254.79,0.0,0.0,5,Clear,sky is clear,2018-01-01 14:00:00,3214
15,,255.46,0.0,0.0,1,Clear,sky is clear,2018-01-01 15:00:00,3410
16,,255.79,0.0,0.0,5,Clear,sky is clear,2018-01-01 16:00:00,3290
17,,255.15,0.0,0.0,1,Clear,sky is clear,2018-01-01 17:00:00,3079
18,,253.86,0.0,0.0,5,Clear,sky is clear,2018-01-01 18:00:00,2891
19,,253.31,0.0,0.0,1,Clear,sky is clear,2018-01-01 19:00:00,2199
20,,252.43,0.0,0.0,5,Clear,sky is clear,2018-01-01 20:00:00,1738
21,,251.72,0.0,0.0,1,Clear,sky is clear,2018-01-01 21:00:00,1555
22,,251.53,0.0,0.0,1,Clear,sky is clear,2018-01-01 22:00:00,1213
23,,251.0,0.0,0.0,1,Clear,sky is clear,2018-01-01 23:00:00,830
24,,251.14,0.0,0.0,1,Clear,sky is clear,2018-01-02 00:00:00,477
25,,251.07,0.0,0.0,1,Mist,mist,2018-01-02 01:00:00,279
26,,250.86,0.0,0.0,1,Clear,sky is clear,2018-01-02 02:00:00,205
27,,250.86,0.0,0.0,1,Clear,sky is clear,2018-01-02 03:00:00,299
28,,250.72,0.0,0.0,1,Clear,sky is clear,2018-01-02 04:00:00,729
29,,250.43,0.0,0.0,1,Clear,sky is clear,2018-01-02 05:00:00,2544
30,,250.38,0.0,0.0,1,Clear,sky is clear,2018-01-02 06:00:00,4801
31,,249.93,0.0,0.0,5,Clear,sky is clear,2018-01-02 07:00:00,5696
32,,250.01,0.0,0.0,1,Clear,sky is clear,2018-01-02 08:00:00,4901
33,,250.3,0.0,0.0,1,Clear,sky is clear,2018-01-02 09:00:00,4189
34,,252.5,0.0,0.0,1,Clear,sky is clear,2018-01-02 10:00:00,4065
35,,255.43,0.0,0.0,75,Clouds,broken clouds,2018-01-02 11:00:00,4172
36,,257.86,0.0,0.0,75,Clouds,broken clouds,2018-01-02 12:00:00,4448
37,,260.64,0.0,0.0,90,Clouds,overcast clouds,2018-01-02 13:00:00,4537
38,,261.72,0.0,0.0,90,Clouds,overcast clouds,2018-01-02 14:00:00,4698
39,,262.15,0.0,0.0,1,Clear,sky is clear,2018-01-02 15:00:00,5232
40,,262.29,0.0,0.0,90,Snow,light snow,2018-01-02 16:00:00,5618
41,,262.29,0.0,0.0,90,Mist,mist,2018-01-02 16:00:00,5618
42,,262.37,0.0,0.0,90,Snow,light snow,2018-01-02 17:00:00,5178
43,,262.37,0.0,0.0,90,Mist,mist,2018-01-02 17:00:00,5178
44,,262.45,0.0,0.0,90,Snow,light snow,2018-01-02 18:00:00,3625
45,,262.45,0.0,0.0,90,Haze,haze,2018-01-02 18:00:00,3625
46,,263.07,0.0,0.0,90,Snow,light snow,2018-01-02 19:00:00,2669
47,,263.07,0.0,0.0,90,Mist,mist,2018-01-02 19:00:00,2669
48,,263.29,0.0,0.0,90,Snow,light snow,2018-01-02 20:00:00,2056
49,,263.53,0.0,0.0,90,Snow,light snow,2018-01-02 21:00:00,2834
50,,262.94,0.0,0.0,90,Snow,light snow,2018-01-02 22:00:00,2785
51,,262.48,0.0,0.0,90,Snow,light snow,2018-01-02 23:00:00,1118
52,,261.79,0.0,0.0,90,Snow,light snow,2018-01-03 00:00:00,599
53,,260.86,0.0,0.0,90,Haze,haze,2018-01-03 01:00:00,353
54,,260.86,0.0,0.0,90,Snow,light snow,2018-01-03 01:00:00,353
55,,260.06,0.0,0.0,90,Haze,haze,2018-01-03 02:00:00,283
56,,258.72,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 03:00:00,358
57,,258.15,0.0,0.0,1,Clear,sky is clear,2018-01-03 04:00:00,811
58,,257.0,0.0,0.0,1,Clear,sky is clear,2018-01-03 05:00:00,2739
59,,256.58,0.0,0.0,1,Clear,sky is clear,2018-01-03 06:00:00,5225
60,,255.93,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 07:00:00,6017
61,,255.43,0.0,0.0,5,Clear,sky is clear,2018-01-03 08:00:00,5398
62,,255.23,0.0,0.0,1,Clear,sky is clear,2018-01-03 09:00:00,5142
63,,256.08,0.0,0.0,5,Clear,sky is clear,2018-01-03 10:00:00,4092
64,,256.23,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 11:00:00,4328
65,,257.29,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 12:00:00,4600
66,,257.93,0.0,0.0,40,Clouds,scattered clouds,2018-01-03 13:00:00,4591
67,,258.38,0.0,0.0,20,Clouds,few clouds,2018-01-03 14:00:00,4983
68,,258.46,0.0,0.0,5,Clear,sky is clear,2018-01-03 15:00:00,5589
69,,258.46,0.0,0.0,5,Clear,sky is clear,2018-01-03 16:00:00,6317
